int_doc_id,master_ai_id,master_ai_name,program_code,activity_class_code,activity_year,activity_num,inspection_date,inspection_end_date,task_id,site_status_code,site_condition_code,lead_investigator_id,master_person_first_name,master_person_last_name,inspection_date_fiscal_year,inspection_date_fiscal_qtr,inspection_date_calendar_year,inspection_date_calendar_qtr,media_type_code,media_type,permit_num,site_status_desc,site_condition_desc,reason,recommended_action,ets_url
1055609,94,Crownsville State Hospital Center WWTP,37,CFI,2010,1,2010-07-27,2010-07-27,NA,W001,0003,21980,Shailaja,Polasi,2011,1,2010,3,E279,NPDES Municipal Ground Water,NA,Active,Additional Investigation Required,Routine Scheduled,Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1055609
1719175,94,Crownsville State Hospital Center WWTP,37,CFI,2015,1,2015-04-20,2015-04-20,1540708,W001,0005,24297,Tammy,Roberson,2015,4,2015,2,E279,NPDES Municipal Ground Water,12-DP1997,Active,Noncompliance,"Routine Scheduled, Initial Yearly, Initial Quarterly",Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1719175
1828228,94,Crownsville State Hospital Center WWTP,37,CFI,2016,1,2016-01-27,2016-01-27,1669130,W001,0005,24297,Tammy,Roberson,2016,3,2016,1,E279,NPDES Municipal Ground Water,12-DP-1997,Active,Noncompliance,"Initial Yearly, Follow-up (Non-Compliance), Initial Quarterly",Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1828228
3144503,94,Crownsville State Hospital Center WWTP,37,CFI,2024,2,2024-05-09,2024-05-09,NA,W001,0003,1169976,Christopher,Lepadatu  ,2024,4,2024,2,E279,NPDES Municipal Ground Water,17DP1997,Active,Additional Investigation Required,Follow-up,Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3144503
3106436,94,Crownsville State Hospital Center WWTP,37,CFI,2024,1,2024-02-16,2024-02-16,NA,W001,0003,1169976,Christopher,Lepadatu  ,2024,3,2024,1,E279,NPDES Municipal Ground Water,17DP1997,Active,Additional Investigation Required,Follow-up (Non-Compliance),Additional Investigation Required,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3106436
3367132,156,Harford Community College,37,CFI,2025,2,2025-11-19,2025-11-19,NA,W001,0008,1176909,Luke,Waesche,2026,2,2025,4,E279,NPDES Municipal Ground Water,21-DP-3274,Active,Corrective Actions Required,"Initial Yearly, Routine Scheduled",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=3367132
1582132,156,Harford Community College,37,CFI,2014,1,2014-04-16,2014-04-16,1367158,W001,0005,23059,William,Fracassi,2014,4,2014,2,E279,NPDES Municipal Ground Water,10-DP-3274,Active,Noncompliance,"Initial Quarterly, Initial Yearly, Routine Scheduled",Continue Routine Investigation,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1582132
1744430,156,Harford Community College,37,CFI,2015,1,2015-06-08,2015-06-08,1574159,W001,0005,74014,Bertha,Custis-Hines,2015,4,2015,2,E279,NPDES Municipal Ground Water,MD3274M10 // 10DP3274,Active,Noncompliance,"Routine Scheduled, Initial Quarterly, Initial Yearly","Refer to Others (See Findings), Additional Investigation Required",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=1744430
2408852,156,Harford Community College,37,CFI,2019,1,2019-07-26,2019-07-26,2331637,W001,0001,74014,Bertha,Custis-Hines,2020,1,2019,3,E279,NPDES Municipal Ground Water,10-DP-3274,Active,Satisfactory/Compliance,"Initial Quarterly, Initial Yearly, Routine Scheduled",Continue Routine Inspection,https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2408852
2906639,347,TAMKO Building Products LLC,37,CFI,2022,1,2022-05-16,2022-05-16,NA,W001,0005,21962,Charles,Hatfield,2022,4,2022,2,E280,NPDES Industrial Ground Water,NA,Active,Noncompliance,"Initial Quarterly, Initial Yearly, PAF","Refer to Others (See Findings), Refer to Others (See Findings), Refer to Others (See Findings)",https://mde-ets.mde.state.md.us/Application/Edit?INT_DOC_ID=2906639
