permit_id,permit_number,npdes_num,master_ai_name,COUNTY_DESC,perwriter_userid,ptype,permit_class,cur_status_descr,cur_status_date,prev_permit_exp,orig_sub_date,custom_task_desc,completed_date,approval_issued,lst_issu,exp_date,effective_end_date
DP3747,24DP3747,MD3747I11,Lions Camp Merrick,Charles,E Lambertini,WMA4,New,Pending,2024-04-01T04:00:00Z,2017-12-31T05:00:00Z,2024-04-01T04:00:00Z,TDOPH - Written comment period ends,2025-12-15T05:00:00Z,NA,NA,NA,NA
DP3835,26DP3835,MD3835H16,Recovery Centers of America Earleville,Cecil,E Lambertini,WMA4,Renewal,Pending,2025-09-11T04:00:00Z,NA,2025-09-11T04:00:00Z,TDOPH - Written comment period ends,2025-12-15T05:00:00Z,NA,NA,NA,NA
DP3747,24DP3747,MD3747I11,Lions Camp Merrick,Charles,E Lambertini,WMA4,New,Pending,2024-04-01T04:00:00Z,2017-12-31T05:00:00Z,2024-04-01T04:00:00Z,TDOPH - Hearing request period ends,2025-12-04T05:00:00Z,NA,NA,NA,NA
DP3835,26DP3835,MD3835H16,Recovery Centers of America Earleville,Cecil,E Lambertini,WMA4,Renewal,Pending,2025-09-11T04:00:00Z,NA,2025-09-11T04:00:00Z,TDOPH - Hearing request period ends,2025-12-04T05:00:00Z,NA,NA,NA,NA
DP1430,25DP1430,MD1430X06,"Perdue Farms, Inc. - Hatchery No. 10",Somerset,J Robinson,WMA3,Renewal,Pending,2024-09-11T04:00:00Z,2025-02-28T05:00:00Z,2024-09-11T04:00:00Z,TDOPH - Written comment period ends,2025-12-01T05:00:00Z,NA,NA,NA,NA
DP3401,25DP3401,MD3401X08,Ocean Landing II,Worcester,H Billian,WMA4,Renewal,Pending,2024-12-27T05:00:00Z,2025-12-31T05:00:00Z,2024-12-27T05:00:00Z,TDOPH - Written comment period ends,2025-11-24T05:00:00Z,NA,NA,NA,NA
DP3747,24DP3747,MD3747I11,Lions Camp Merrick,Charles,E Lambertini,WMA4,New,Pending,2024-04-01T04:00:00Z,2017-12-31T05:00:00Z,2024-04-01T04:00:00Z,TDOPH - Second notice published,2025-11-21T05:00:00Z,NA,NA,NA,NA
DP3835,26DP3835,MD3835H16,Recovery Centers of America Earleville,Cecil,E Lambertini,WMA4,Renewal,Pending,2025-09-11T04:00:00Z,NA,2025-09-11T04:00:00Z,TDOPH - Second notice published,2025-11-21T05:00:00Z,NA,NA,NA,NA
DP1430,25DP1430,MD1430X06,"Perdue Farms, Inc. - Hatchery No. 10",Somerset,J Robinson,WMA3,Renewal,Pending,2024-09-11T04:00:00Z,2025-02-28T05:00:00Z,2024-09-11T04:00:00Z,TDOPH - Hearing request period ends,2025-11-18T05:00:00Z,NA,NA,NA,NA
DP2896,25DP2896,MD2896P09,Poolesville Golf Course WWTP,Montgomery,L Hudson,WMA4,Renewal,Pending Effective,2025-11-19T05:00:00Z,2025-12-31T05:00:00Z,2025-01-23T05:00:00Z,TDOPH - Written comment period ends,2025-11-17T05:00:00Z,2025-11-19T05:00:00Z,2026-01-01T05:00:00Z,2030-12-31T05:00:00Z,2030-12-31T05:00:00Z
